x,y,dydx
0,0,-1.30872
0.01,-0.0130872,-1.30872
0.02,-0.0261745,-1.30872
0.03,-0.0392617,-1.30871
0.04,-0.0523488,-1.3087
0.05,-0.0654358,-1.30867
0.06,-0.0785225,-1.30863
0.07,-0.0916088,-1.30857
0.08,-0.104694,-1.30848
0.09,-0.117779,-1.30837
0.1,-0.130863,-1.30823
0.11,-0.143945,-1.30806
0.12,-0.157026,-1.30786
0.13,-0.170105,-1.30761
0.14,-0.183181,-1.30732
0.15,-0.196254,-1.30699
0.16,-0.209324,-1.3066
0.17,-0.22239,-1.30616
0.18,-0.235451,-1.30567
0.19,-0.248508,-1.30511
0.2,-0.261559,-1.3045
0.21,-0.274604,-1.30381
0.22,-0.287642,-1.30306
0.23,-0.300673,-1.30223
0.24,-0.313695,-1.30133
0.25,-0.326708,-1.30034
0.26,-0.339712,-1.29927
0.27,-0.352705,-1.29812
0.28,-0.365686,-1.29688
0.29,-0.378654,-1.29554
0.3,-0.39161,-1.29411
0.31,-0.404551,-1.29257
0.32,-0.417477,-1.29093
0.33,-0.430386,-1.28919
0.34,-0.443278,-1.28734
0.35,-0.456151,-1.28537
0.36,-0.469005,-1.28329
0.37,-0.481838,-1.28109
0.38,-0.494649,-1.27877
0.39,-0.507437,-1.27633
0.4,-0.5202,-1.27375
0.41,-0.532937,-1.27104
0.42,-0.545648,-1.2682
0.43,-0.55833,-1.26523
0.44,-0.570982,-1.26211
0.45,-0.583603,-1.25885
0.46,-0.596192,-1.25544
0.47,-0.608746,-1.25189
0.48,-0.621265,-1.24818
0.49,-0.633747,-1.24432
0.5,-0.64619,-1.24031
0.51,-0.658593,-1.23613
0.52,-0.670955,-1.23179
0.53,-0.683273,-1.22729
0.54,-0.695545,-1.22262
0.55,-0.707772,-1.21779
0.56,-0.71995,-1.21278
0.57,-0.732077,-1.20759
0.58,-0.744153,-1.20223
0.59,-0.756176,-1.1967
0.6,-0.768143,-1.19098
0.61,-0.780052,-1.18508
0.62,-0.791903,-1.17899
0.63,-0.803693,-1.17272
0.64,-0.81542,-1.16626
0.65,-0.827083,-1.15961
0.66,-0.838679,-1.15277
0.67,-0.850207,-1.14574
0.68,-0.861664,-1.13851
0.69,-0.873049,-1.13109
0.7,-0.88436,-1.12346
0.71,-0.895595,-1.11564
0.72,-0.906751,-1.10762
0.73,-0.917827,-1.0994
0.74,-0.928821,-1.09098
0.75,-0.939731,-1.08235
0.76,-0.950555,-1.07352
0.77,-0.96129,-1.06448
0.78,-0.971935,-1.05524
0.79,-0.982487,-1.0458
0.8,-0.992945,-1.03614
0.81,-1.00331,-1.02628
0.82,-1.01357,-1.01622
0.83,-1.02373,-1.00594
0.84,-1.03379,-0.995463
0.85,-1.04375,-0.984776
0.86,-1.05359,-0.973882
0.87,-1.06333,-0.962781
0.88,-1.07296,-0.951475
0.89,-1.08247,-0.939962
0.9,-1.09187,-0.928245
0.91,-1.10116,-0.916323
0.92,-1.11032,-0.904197
0.93,-1.11936,-0.891869
0.94,-1.12828,-0.87934
0.95,-1.13707,-0.866609
0.96,-1.14574,-0.85368
0.97,-1.15428,-0.840553
0.98,-1.16268,-0.827229
0.99,-1.17095,-0.813711
1,-1.17909,-0.8
